site_no,site_name,timestamp_utc,flow_cfs
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 01:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 01:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 02:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 03:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 04:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 05:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 06:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 07:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 08:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 09:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 10:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 11:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 12:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 13:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 14:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:00:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:05:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:10:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:15:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:20:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:25:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:30:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:35:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:40:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:45:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:50:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 15:55:00+00:00,10.9
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-03 16:00:00+00:00,10.9
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 23:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 23:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 23:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 23:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 00:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 00:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 00:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 00:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 01:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 01:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 01:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 01:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 02:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 02:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 02:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 02:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 03:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 03:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 03:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 03:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 04:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 04:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 04:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 04:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 05:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 05:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 05:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 05:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 06:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 06:15:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 06:30:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 06:45:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 07:00:00+00:00,5.8
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 07:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 07:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 07:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 08:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 08:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 08:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 08:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 09:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 09:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 09:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 09:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 10:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 10:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 10:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 10:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 11:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 11:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 11:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 11:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 12:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 12:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 12:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 12:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 13:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 13:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 13:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 13:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 14:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 14:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 14:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 14:45:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 15:00:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 15:15:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 15:30:00+00:00,6.13
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-03 15:45:00+00:00,6.13
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 23:00:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 23:15:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 23:30:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 23:45:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 00:00:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 00:15:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 00:30:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 00:45:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 01:00:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 01:15:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 01:30:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 01:45:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 02:00:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 02:15:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 02:30:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 02:45:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 03:00:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 03:15:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 03:30:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 03:45:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 04:00:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 04:15:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 04:30:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 04:45:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 05:00:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 05:15:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 05:30:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 05:45:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 06:00:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 06:15:00+00:00,86.6
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 06:30:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 06:45:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 07:00:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 07:15:00+00:00,84.9
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 07:30:00+00:00,83.2
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 07:45:00+00:00,83.2
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 08:00:00+00:00,83.2
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 08:15:00+00:00,83.2
01622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-03 08:30:00+00:00,83.2
